Operation,Planned_Population_Group1,Goal1,Rights_Group1,Objective1,Year1,Indicators6,Impact_Indicator_Value_Baseline2,Impact_Indicator_Value_Imp_Target2,Impact_Indicator_Value_Comp_Target2,Impact_Indicator_Value_Mid_Year2,Impact_Indicator_Value_Year_End2,Impact_Indicator_Value_Standard2
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of secondary school-aged young people enrolled in secondary education,,,,,,80.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,53.0,53.0,75.0,,,80.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,53.0,53.0,75.0,,,80.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers who are female,,,,,,50.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers who are female,24.0,28.0,34.0,,,50.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers who are female,28.0,28.0,34.0,,,50.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers who are female,28.0,28.0,34.0,,,50.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of teachers with professional teaching qualifications,,,,,,70.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of teachers with professional teaching qualifications,,,,,,70.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers with professional teaching qualifications,65.0,65.0,80.0,,,70.0
Ethiopia,Refugees and asylum seekers from Somalia in Eastern and Southern Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers with professional teaching qualifications,65.0,65.0,80.0,,,70.0
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,65.0,75.0,80.0,,,80.0
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,65.0,75.0,80.0,,,80.0
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,53.4,62.0,85.0,,,100.0
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of primary school-aged children enrolled in primary education,53.4,62.0,85.0,,,100.0
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of secondary school-aged young people enrolled in secondary education,40.0,50.0,80.0,,,80.0
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of secondary school-aged young people enrolled in secondary education,40.0,50.0,80.0,,,80.0
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of teachers with professional teaching qualifications,21.0,35.0,40.0,,,70.0
Ethiopia,Refugees and asylum seekers from South Sudan in Western Ethiopia,Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of teachers with professional teaching qualifications,21.0,35.0,40.0,,,70.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,80.0,80.0,90.0,64.2,55.3,80.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,70.0,80.0,100.0,,,80.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,87.0,90.0,100.0,,,80.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of children aged 3-5 yrs enrolled in early childhood education,87.0,90.0,100.0,,,80.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,70.0,80.0,90.0,,14.3,80.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,60.0,80.0,100.0,,,80.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 14-17 enrolled in secondary education,,,,,,80.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,70.0,85.0,90.0,63.9,94.2,100.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,70.0,85.0,100.0,,,100.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2015  Operations Plan,% of persons of concern aged 6-13 yrs enrolled in primary education,,,,,,100.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2012  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2013  Operations Plan,% of primary school-aged children enrolled in primary education,,,,,,100.0
Ethiopia,"Refugees and asylum seekers in urban areas, Kenyan Borenas and other POCs",Protection and mixed solutions,Basic Needs and Essential Services,Population has optimal access to education,2014  Operations Plan,% of primary school-aged children enrolled in primary education,97.0,100.0,100.0,,,100.0
